Tag,Chosen_Error
01_001,0.0
01_002,-0.11267605633802817
01_003,-0.21052631578947367
01_004,0.4489795918367347
01_005,0.40329218106995884
01_006,-0.5154639175257731
01_007,0.12154696132596685
01_008,0.13559322033898305
01_009,-0.16666666666666666
01_010,-0.05128205128205128
01_011,-0.014598540145985401
01_012,-0.13592233009708737
01_013,-0.16666666666666666
01_014,-0.52
01_015,-0.46153846153846156
01_016,-0.44776119402985076
01_017,-0.37623762376237624
01_018,-0.24324324324324326
01_019,0.007434944237918215
01_020,-0.5765124555160143
01_021,-0.44025157232704404
01_022,-0.12274368231046931
01_023,-0.4563758389261745
01_025,-0.5324675324675324
01_026,-0.5142857142857142
01_027,-0.10526315789473684
01_028,-0.09577464788732394
01_029,-0.09855072463768116
01_030,0.5686900958466453
01_031,-0.2510822510822511
01_032,0.3673469387755102
01_033,-1.0684931506849316
01_034,-0.8292682926829268
01_035,-0.717948717948718
01_036,0.0625
01_037,-0.09230769230769231
01_038,-0.9787234042553191
01_039,-0.13592233009708737
01_040,-1.3
01_041,-1.1372549019607843
01_042,0.0
01_043,0.45614035087719296
01_044,-0.3431952662721893
01_045,-0.15181518151815182
01_046,-0.16091954022988506
01_047,-0.4727272727272727
01_048,-0.5882352941176471
01_049,-0.543046357615894
01_050,-0.5882352941176471
01_051,-0.6987951807228916
01_052,-0.20920502092050208
01_053,-0.3401360544217687
01_054,-0.8531468531468531
01_055,0.02197802197802198
02_001,0.17647058823529413
02_002,-0.34285714285714286
02_003,-0.5555555555555556
02_004,-0.32558139534883723
02_005,0.09090909090909091
02_006,-0.20689655172413793
02_007,-0.9
02_008,0.0
02_009,0.24
02_010,-1.0344827586206897
02_011,-1.2380952380952381
02_012,-0.6666666666666666
02_013,0.0
02_014,-0.4489795918367347
02_015,0.19607843137254902
02_016,0.5454545454545454
02_017,-0.14925373134328357
02_018,-0.23529411764705882
02_019,0.33962264150943394
02_020,0.21686746987951808
02_021,0.16216216216216217
02_022,-0.10526315789473684
02_023,-0.4
02_024,0.04081632653061224
02_025,0.15384615384615385
02_026,0.5263157894736842
02_027,0.8679245283018868
02_028,0.43478260869565216
02_029,0.14285714285714285
02_030,-0.6666666666666666
02_031,0.5454545454545454
02_032,0.7368421052631579
02_033,0.18181818181818182
02_034,-0.23529411764705882
02_035,0.5777777777777777
02_036,0.6046511627906976
02_037,0.36363636363636365
02_038,1.0188679245283019
02_039,0.43137254901960786
02_040,-0.24390243902439024
02_041,0.5263157894736842
02_042,0.72
02_043,0.0
02_044,0.4888888888888889
02_045,0.3783783783783784
02_046,0.38095238095238093
02_047,0.45454545454545453
02_048,0.7796610169491526
02_049,0.7692307692307693
02_050,0.3013698630136986
02_051,0.3137254901960784
02_052,0.7184466019417476
02_053,0.56
02_054,0.9425287356321839
02_055,-0.38095238095238093
02_056,0.03508771929824561
02_057,-0.2564102564102564
02_058,0.09523809523809523
02_059,0.4444444444444444
02_060,0.2222222222222222
02_061,0.42201834862385323
02_062,0.08450704225352113
02_063,-0.03636363636363636
02_064,-0.2608695652173913
02_065,0.4931506849315068
02_066,0.5625
02_067,0.03333333333333333
02_068,0.35789473684210527
02_069,0.16091954022988506
02_070,0.27450980392156865
02_071,0.05504587155963303
02_072,0.5747126436781609
02_073,0.20588235294117646
02_074,0.03076923076923077
02_075,-0.3333333333333333
02_076,0.40993788819875776
02_077,0.5620915032679739
02_078,0.25125628140703515
02_079,0.7704280155642024
02_080,0.2222222222222222
02_081,0.6820809248554913
02_082,0.6666666666666666
02_083,0.46153846153846156
02_084,0.21359223300970873
02_085,0.32098765432098764
02_086,-0.10909090909090909
02_087,0.09230769230769231
02_088,0.021505376344086023
02_089,-0.22608695652173913
02_090,0.1037037037037037
02_091,-0.16091954022988506
02_092,-0.43137254901960786
02_093,0.2
02_094,0.0
